checkpoint,N,MCD,MCD_IC95,F0_RMSE,F0_RMSE_IC95,F0_Corr,F0_Corr_IC95
ckpt_100,1216,28.764,0.168,74.931,2.871,0.4862,0.0108
ckpt_200,1216,27.112,0.159,70.684,2.742,0.5157,0.0104
ckpt_300,1216,26.184,0.151,67.923,2.681,0.5438,0.0101
ckpt_400,1216,25.612,0.148,65.407,2.603,0.5624,0.0098
ckpt_500,1216,25.284,0.145,63.718,2.579,0.5746,0.0095
ckpt_600,1216,25.123,0.142,62.812,2.554,0.5811,0.0093
ckpt_700,1216,25.207,0.143,63.246,2.567,0.5783,0.0094
ckpt_800,1216,25.391,0.146,64.105,2.589,0.5712,0.0096
ckpt_900,1216,25.684,0.149,65.338,2.631,0.5639,0.0098
ckpt_1000,1216,25.917,0.153,66.214,2.674,0.5574,0.0100
